,mquant,iquant,dquant
0,-12.472944584831692,-2.6127612689179665,-0.9671207212172777
1,-12.425413485892738,-1.9599345083944242,-0.022286201801988835
2,-12.373912346614379,-1.5728953167385478,0.5162809802313262
3,-12.124370410199916,-1.2998148731631587,0.9638250210571062
4,-12.07097999893608,-1.0887641457854909,1.3374928358924896
5,-12.044575019346986,-0.9122726477803823,1.6191631697957916
6,-12.020344161628067,-0.7594477727103586,1.8835909776212028
7,-11.984070530113431,-0.6325698040024517,2.1083523045890544
8,-11.885584823571188,-0.5189541146518202,2.324245737720935
9,-11.383633189323588,-0.4152605519429001,2.5072169441271193
10,-11.040761260830742,-0.3184281924150094,2.7241551175232472
11,-10.735321035349177,-0.22942917607772448,2.91665494251024
12,-10.524115637048887,-0.1504329832082409,3.0724667359941167
13,-10.42978096230122,-0.0753402485384537,3.2425020181556197
14,-10.261601470157391,-0.002538945313022387,3.399375192216321
15,-10.176695310663943,0.07177687558178575,3.5385621102305707
16,-10.100207307434658,0.13513998674952693,3.687544869951105
17,-10.040520039220164,0.19696018043096852,3.813991885103172
18,-9.964018726351132,0.254444549182364,3.9471772577683533
19,-9.871951054535753,0.31281242943375015,4.051310106199135
20,-9.792890152092607,0.36577471858214916,4.186146586868693
21,-9.723559996504417,0.417224161610337,4.310821666492405
22,-9.659853305114137,0.4663484599257085,4.4148428439868415
23,-9.586914096592576,0.5145377580739271,4.517474264968545
24,-9.47415876537064,0.5592172205565138,4.625308425107355
25,-9.373086377314227,0.6031581343734935,4.734182724960187
26,-9.208320427975913,0.6456209220026439,4.848313600517693
27,-9.053290245821197,0.6875781229733419,4.941336465275212
28,-8.9037721190443,0.7275286535942151,5.038094832788262
29,-8.76125305056791,0.7663456890591398,5.127321374653398
30,-8.639901296830876,0.8051450824379366,5.213421530648073
31,-8.550474003181925,0.8420435422875926,5.3059577009061325
32,-8.456778464861491,0.8789579546944567,5.387976609650773
33,-8.359089533806007,0.9146777160370393,5.457944509949701
34,-8.272860539264043,0.9479462155566356,5.530854294901939
35,-8.192178445197811,0.9806946150024973,5.606748618347778
36,-8.12194084739123,1.013623331787778,5.683522146363585
37,-8.054457178559737,1.0469811006555318,5.759337744057553
38,-7.996795401252443,1.0786206311778093,5.817865885779867
39,-7.948023692660561,1.1093810441798904,5.881789830039899
40,-7.901853531609291,1.1383045034223644,5.940649286813718
41,-7.860311272203857,1.1669766917813937,6.004505274399683
42,-7.8198800401764945,1.196749151993629,6.066459369760532
43,-7.783147563935589,1.2255765198474158,6.129923340118978
44,-7.74696208215462,1.2527994260326567,6.192211486037094
45,-7.712685578465283,1.2805870531715478,6.2555016709341364
46,-7.678899991728326,1.3074706726028327,6.315819041225263
47,-7.646388936361154,1.335357082017756,6.378039437223951
48,-7.61579498015376,1.3619801543643921,6.433280683637052
49,-7.585830343309505,1.3878205571204525,6.488974221184898
50,-7.555727999531421,1.4131085457690007,6.538105894599203
51,-7.526822967380367,1.4384261300972123,6.591248834736567
52,-7.498995764030141,1.4625026737008704,6.641370164511395
53,-7.472152229463864,1.487197577844223,6.6987505500185796
54,-7.446872976286182,1.511343151907496,6.744690294511782
55,-7.421338688340502,1.534515197034242,6.793426851984979
56,-7.397125914645537,1.5579702118898326,6.8504829827883125
57,-7.373282132978602,1.580220403854887,6.906564504585607
58,-7.350744220090153,1.6026268246031654,6.965335657924663
59,-7.329793645982399,1.6247865912721158,7.015105461890995
60,-7.311029179391533,1.6465152764860203,7.0640352240452025
61,-7.293271607472574,1.6688794043098236,7.11869529215487
62,-7.27549490214571,1.689899311342006,7.16215203032143
63,-7.256492062103681,1.711181256989382,7.210008146495471
64,-7.237041918077477,1.732080188979273,7.255552987197285
65,-7.2166905176668426,1.75360738199866,7.310533565113802
66,-7.19611289421084,1.7740742860858263,7.351788072333031
67,-7.175544547167426,1.7948979519849653,7.396986594023162
68,-7.155294613259289,1.8153747462341658,7.439888076859425
69,-7.136034512736921,1.836217813465026,7.486505364647948
70,-7.116968562367381,1.8559188454861455,7.533975424456387
71,-7.097951972941564,1.875464894280101,7.573596228126126
72,-7.080016322493405,1.8940118588508805,7.620752106198739
73,-7.062924322475718,1.913963598731899,7.6578611671259305
74,-7.045840373427948,1.9324530783910803,7.698073752676532
75,-7.02928291329646,1.9511581083206364,7.7401069040503305
76,-7.013488329624698,1.9698167690824535,7.78372788634725
77,-6.997900684523384,1.9883666115287357,7.826194043429051
78,-6.9824356956598175,2.006931643399021,7.869965064561418
79,-6.966718242896685,2.0253687383675247,7.9047957302654375
80,-6.9510234412434615,2.043131818860351,7.942581020802907
81,-6.935538194781129,2.0613523042101543,7.981766095373483
82,-6.919809014506724,2.079086688277244,8.015149922374231
83,-6.9047993773273895,2.0972847197348305,8.053226090740948
84,-6.890495329329925,2.114789428097221,8.087053529141917
85,-6.877251307376352,2.1318199182099247,8.120771047244263
86,-6.864871029452368,2.148713480645026,8.15650601309284
87,-6.853426103832341,2.1655482050111874,8.200001811633093
88,-6.842721063657067,2.182275728636906,8.234582580699119
89,-6.832263083457666,2.1989726123172897,8.272875222144322
90,-6.821908486742038,2.2157063448480114,8.306008770857163
91,-6.811551017509958,2.2324239751849113,8.340380497483235
92,-6.80032934673204,2.24895453427626,8.378298211897082
93,-6.788362300767375,2.2652535699817626,8.42201755046953
94,-6.775802059543883,2.281427394147683,8.457711692830381
95,-6.762435957215692,2.2977499562918977,8.490636547702458
96,-6.748794535817246,2.3140257078129056,8.530134199928032
97,-6.734906614721365,2.329366416239125,8.562706516119999
